Sch_Div,Disadvantaged,Total Count
A. Henderson Elementary Prince William County Public Schools,N,572
A. Henderson Elementary Prince William County Public Schools,Y,216
A.G. Richardson Elementary Culpeper County Public Schools,N,335
A.G. Richardson Elementary Culpeper County Public Schools,Y,207
A.M. Davis Elementary Chesterfield County Public Schools,N,326
A.M. Davis Elementary Chesterfield County Public Schools,Y,386
A.S. Rhodes Elementary Warren County Public Schools,N,172
A.S. Rhodes Elementary Warren County Public Schools,Y,96
A.W.E. Bassette Elementary Hampton City Public Schools,N,186
A.W.E. Bassette Elementary Hampton City Public Schools,Y,279
Abb's Valley-Boissevain Elementary Tazewell County Public Schools,N,64
Abb's Valley-Boissevain Elementary Tazewell County Public Schools,Y,92
Aberdeen Elementary Hampton City Public Schools,N,228
Aberdeen Elementary Hampton City Public Schools,Y,271
Abingdon Elementary Arlington County Public Schools,N,387
Abingdon Elementary Arlington County Public Schools,Y,319
Abingdon Elementary Gloucester County Public Schools,N,253
Abingdon Elementary Gloucester County Public Schools,Y,202
Abingdon Elementary Washington County Public Schools,N,296
Abingdon Elementary Washington County Public Schools,Y,145
Abingdon High Washington County Public Schools,N,534
Abingdon High Washington County Public Schools,Y,327
Academy for Discovery at Lakewood Norfolk City Public Schools,N,535
Academy for Discovery at Lakewood Norfolk City Public Schools,Y,184
Accawmacke Elementary Accomack County Public Schools,N,210
Accawmacke Elementary Accomack County Public Schools,Y,198
Achievable Dream Academy Newport News City Public Schools,N,143
Achievable Dream Academy Newport News City Public Schools,Y,459
Achievable Dream Middle/High Newport News City Public Schools,N,150
Achievable Dream Middle/High Newport News City Public Schools,Y,355
Achilles Elementary Gloucester County Public Schools,N,265
Achilles Elementary Gloucester County Public Schools,Y,165
Acquinton Elementary King William County Public Schools,N,273
Acquinton Elementary King William County Public Schools,Y,152
Addison Aerospace Magnet Middle Roanoke City Public Schools,N,157
Addison Aerospace Magnet Middle Roanoke City Public Schools,Y,428
Admiral Richard E. Byrd Middle Frederick County Public Schools,N,499
Admiral Richard E. Byrd Middle Frederick County Public Schools,Y,307
Agnor-Hurt Elementary Albemarle County Public Schools,N,229
Agnor-Hurt Elementary Albemarle County Public Schools,Y,227
Alanton Elementary Virginia Beach City Public Schools,N,306
Alanton Elementary Virginia Beach City Public Schools,Y,294
Albemarle High Albemarle County Public Schools,N,"1,393"
Albemarle High Albemarle County Public Schools,Y,524
Albert Harris Elementary Martinsville City Public Schools,N,67
Albert Harris Elementary Martinsville City Public Schools,Y,336
Albert Hill Middle Richmond City Public Schools,N,215
Albert Hill Middle Richmond City Public Schools,Y,234
Albert W. Patrick III Elementary Hampton City Public Schools,N,157
Albert W. Patrick III Elementary Hampton City Public Schools,Y,235
Alberta Smith Elementary Chesterfield County Public Schools,N,468
Alberta Smith Elementary Chesterfield County Public Schools,Y,159
Aldie Elementary Loudoun County Public Schools,N,92
Aldie Elementary Loudoun County Public Schools,Y,19
Aldrin Elementary Fairfax County Public Schools,N,420
Aldrin Elementary Fairfax County Public Schools,Y,83
Alexandria City High Alexandria City Public Schools,N,"1,598"
Alexandria City High Alexandria City Public Schools,Y,"2,804"
Alfred S. Forrest Elementary Hampton City Public Schools,N,238
Alfred S. Forrest Elementary Hampton City Public Schools,Y,269
Algonkian Elementary Loudoun County Public Schools,N,386
Algonkian Elementary Loudoun County Public Schools,Y,71
Alice West Fleet Elementary Arlington County Public Schools,N,357
Alice West Fleet Elementary Arlington County Public Schools,Y,227
Alleghany High Alleghany County Public Schools,N,363
Alleghany High Alleghany County Public Schools,Y,219
Altavista Elementary Campbell County Public Schools,N,197
Altavista Elementary Campbell County Public Schools,Y,293
Altavista High Campbell County Public Schools,N,364
Altavista High Campbell County Public Schools,Y,338
Amelia County Elementary Amelia County Public Schools,N,358
Amelia County Elementary Amelia County Public Schools,Y,383
Amelia County High Amelia County Public Schools,N,292
Amelia County High Amelia County Public Schools,Y,201
Amelia County Middle Amelia County Public Schools,N,194
Amelia County Middle Amelia County Public Schools,Y,207
Amelia Street Special Education Richmond City Public Schools,N,
Amelia Street Special Education Richmond City Public Schools,Y,13
Amelon Elementary Amherst County Public Schools,N,209
Amelon Elementary Amherst County Public Schools,Y,225
Amherst County High Amherst County Public Schools,N,563
Amherst County High Amherst County Public Schools,Y,654
Amherst Elementary Amherst County Public Schools,N,128
Amherst Elementary Amherst County Public Schools,Y,105
Amherst Middle Amherst County Public Schools,N,167
Amherst Middle Amherst County Public Schools,Y,211
Andrew G. Wright Middle Stafford County Public Schools,N,660
Andrew G. Wright Middle Stafford County Public Schools,Y,227
Andrew Lewis Middle Salem City Public Schools,N,508
Andrew Lewis Middle Salem City Public Schools,Y,379
Annandale High Fairfax County Public Schools,N,748
Annandale High Fairfax County Public Schools,Y,"1,506"
Annandale Terrace Elementary Fairfax County Public Schools,N,165
Annandale Terrace Elementary Fairfax County Public Schools,Y,482
Anne E. Moncure Elementary Stafford County Public Schools,N,381
Anne E. Moncure Elementary Stafford County Public Schools,Y,477
Anthony Burns Elementary Stafford County Public Schools,N,441
Anthony Burns Elementary Stafford County Public Schools,Y,263
Anthony P. Mehfoud Elementary Henrico County Public Schools,N,151
Anthony P. Mehfoud Elementary Henrico County Public Schools,Y,172
Antietam Elementary Prince William County Public Schools,N,431
Antietam Elementary Prince William County Public Schools,Y,337
Apple Pie Ridge Elementary Frederick County Public Schools,N,211
Apple Pie Ridge Elementary Frederick County Public Schools,Y,211
Appomattox County High Appomattox County Public Schools,N,426
Appomattox County High Appomattox County Public Schools,Y,270
Appomattox Elementary Appomattox County Public Schools,N,268
Appomattox Elementary Appomattox County Public Schools,Y,233
Appomattox Middle Appomattox County Public Schools,N,268
Appomattox Middle Appomattox County Public Schools,Y,275
Appomattox Primary Appomattox County Public Schools,N,290
Appomattox Primary Appomattox County Public Schools,Y,308
Arcadia High Accomack County Public Schools,N,424
Arcadia High Accomack County Public Schools,Y,263
Arcadia Middle Accomack County Public Schools,N,283
Arcadia Middle Accomack County Public Schools,Y,264
Archer Elementary Fairfax County Public Schools,N,460
Archer Elementary Fairfax County Public Schools,Y,50
Arcola Elementary Loudoun County Public Schools,N,810
Arcola Elementary Loudoun County Public Schools,Y,142
Arlington Community High Arlington County Public Schools,N,141
Arlington Community High Arlington County Public Schools,Y,36
Arlington Science Focus School Arlington County Public Schools,N,403
Arlington Science Focus School Arlington County Public Schools,Y,53
Arlington Traditional Arlington County Public Schools,N,430
Arlington Traditional Arlington County Public Schools,Y,238
Armel Elementary Frederick County Public Schools,N,474
Armel Elementary Frederick County Public Schools,Y,159
Armstrong Elementary Fairfax County Public Schools,N,302
Armstrong Elementary Fairfax County Public Schools,Y,54
Armstrong Elementary Hampton City Public Schools,N,201
Armstrong Elementary Hampton City Public Schools,Y,65
Armstrong High Richmond City Public Schools,N,166
Armstrong High Richmond City Public Schools,Y,610
Arrowhead Elementary Virginia Beach City Public Schools,N,250
Arrowhead Elementary Virginia Beach City Public Schools,Y,269
Arthur Ashe Jr. Elementary Henrico County Public Schools,N,130
Arthur Ashe Jr. Elementary Henrico County Public Schools,Y,376
Arthur R. Ware Elementary Staunton City Public Schools,N,262
Arthur R. Ware Elementary Staunton City Public Schools,Y,130
Ashburn Elementary Loudoun County Public Schools,N,406
Ashburn Elementary Loudoun County Public Schools,Y,110
Ashland Elementary Prince William County Public Schools,N,664
Ashland Elementary Prince William County Public Schools,Y,120
Ashlawn Elementary Arlington County Public Schools,N,442
Ashlawn Elementary Arlington County Public Schools,Y,98
Atkins Elementary Smyth County Public Schools,N,50
Atkins Elementary Smyth County Public Schools,Y,123
Atlee High Hanover County Public Schools,N,"1,279"
Atlee High Hanover County Public Schools,Y,262
Auburn Elementary Montgomery County Public Schools,N,296
Auburn Elementary Montgomery County Public Schools,Y,255
Auburn High Montgomery County Public Schools,N,242
Auburn High Montgomery County Public Schools,Y,131
Auburn Middle Fauquier County Public Schools,N,526
Auburn Middle Fauquier County Public Schools,Y,60
Auburn Middle Montgomery County Public Schools,N,153
Auburn Middle Montgomery County Public Schools,Y,135
Axton Elementary Henry County Public Schools,N,142
Axton Elementary Henry County Public Schools,Y,236
Azalea Gardens Middle Norfolk City Public Schools,N,364
Azalea Gardens Middle Norfolk City Public Schools,Y,504
B.C. Charles Elementary Newport News City Public Schools,N,199
B.C. Charles Elementary Newport News City Public Schools,Y,171
B.M. Williams Primary Chesapeake City Public Schools,N,465
B.M. Williams Primary Chesapeake City Public Schools,Y,403
B.T. Washington Middle Newport News City Public Schools,N,245
B.T. Washington Middle Newport News City Public Schools,Y,171
Back Creek Elementary Roanoke County Public Schools,N,220
Back Creek Elementary Roanoke County Public Schools,Y,64
Bacon District Elementary Charlotte County Public Schools,N,60
Bacon District Elementary Charlotte County Public Schools,Y,100
Bailey Bridge Middle Chesterfield County Public Schools,N,"1,130"
Bailey Bridge Middle Chesterfield County Public Schools,Y,439
Bailey's Elementary School for the Arts and Sciences Fairfax County Public Schools,N,335
Bailey's Elementary School for the Arts and Sciences Fairfax County Public Schools,Y,461
Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools,N,167
Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools,Y,352
Baker-Butler Elem Albemarle County Public Schools,N,520
Baker-Butler Elem Albemarle County Public Schools,Y,162
Baldwin Elementary Manassas City Public Schools,N,387
Baldwin Elementary Manassas City Public Schools,Y,274
Baldwin Intermediate Manassas City Public Schools,N,148
Baldwin Intermediate Manassas City Public Schools,Y,126
Ball's Bluff Elementary Loudoun County Public Schools,N,342
Ball's Bluff Elementary Loudoun County Public Schools,Y,139
Banneker Elementary Loudoun County Public Schools,N,133
Banneker Elementary Loudoun County Public Schools,Y,48
Barack Obama Elementary Richmond City Public Schools,N,100
Barack Obama Elementary Richmond City Public Schools,Y,176
