English Learners,Total Count,Sch_Div
N,284,Accawmacke Elementary Accomack County Public Schools
Y,102,Accawmacke Elementary Accomack County Public Schools
N,570,Arcadia High Accomack County Public Schools
Y,92,Arcadia High Accomack County Public Schools
N,350,Arcadia Middle Accomack County Public Schools
Y,80,Arcadia Middle Accomack County Public Schools
N,224,Chincoteague Elementary Accomack County Public Schools
N,266,Chincoteague High Accomack County Public Schools
N,367,Kegotank Elementary Accomack County Public Schools
Y,99,Kegotank Elementary Accomack County Public Schools
N,324,Metompkin Elementary Accomack County Public Schools
Y,208,Metompkin Elementary Accomack County Public Schools
N,581,Nandua High Accomack County Public Schools
Y,40,Nandua High Accomack County Public Schools
N,343,Nandua Middle Accomack County Public Schools
Y,37,Nandua Middle Accomack County Public Schools
N,369,Pungoteague Elementary Accomack County Public Schools
Y,56,Pungoteague Elementary Accomack County Public Schools
N,42,Tangier Combined Accomack County Public Schools
N,340,Agnor-Hurt Elementary Albemarle County Public Schools
Y,108,Agnor-Hurt Elementary Albemarle County Public Schools
N,"1,703",Albemarle High Albemarle County Public Schools
Y,172,Albemarle High Albemarle County Public Schools
N,587,Baker-Butler Elem Albemarle County Public Schools
Y,80,Baker-Butler Elem Albemarle County Public Schools
N,254,Broadus Wood Elementary Albemarle County Public Schools
Y,,Broadus Wood Elementary Albemarle County Public Schools
N,745,Brownsville Elementary Albemarle County Public Schools
Y,,Brownsville Elementary Albemarle County Public Schools
N,190,Community Lab School Albemarle County Public Schools
Y,,Community Lab School Albemarle County Public Schools
N,317,Crozet Elementary Albemarle County Public Schools
Y,,Crozet Elementary Albemarle County Public Schools
N,319,Hollymead Elementary Albemarle County Public Schools
Y,17,Hollymead Elementary Albemarle County Public Schools
N,539,Jack Jouett Middle Albemarle County Public Schools
Y,98,Jack Jouett Middle Albemarle County Public Schools
N,488,Jackson P. Burley Middle Albemarle County Public Schools
Y,49,Jackson P. Burley Middle Albemarle County Public Schools
N,824,Joseph T. Henley Middle Albemarle County Public Schools
Y,10,Joseph T. Henley Middle Albemarle County Public Schools
N,501,Lakeside Middle Albemarle County Public Schools
Y,17,Lakeside Middle Albemarle County Public Schools
N,317,Leslie H. Walton Middle Albemarle County Public Schools
Y,,Leslie H. Walton Middle Albemarle County Public Schools
N,320,Mary Carr Greer Elementary Albemarle County Public Schools
Y,154,Mary Carr Greer Elementary Albemarle County Public Schools
N,317,Meriwether Lewis Elementary Albemarle County Public Schools
Y,,Meriwether Lewis Elementary Albemarle County Public Schools
N,"1,147",Monticello High Albemarle County Public Schools
Y,59,Monticello High Albemarle County Public Schools
N,597,Mountain View Elementary Albemarle County Public Schools
Y,125,Mountain View Elementary Albemarle County Public Schools
N,178,Red Hill Elementary Albemarle County Public Schools
Y,,Red Hill Elementary Albemarle County Public Schools
N,209,Scottsville Elementary Albemarle County Public Schools
Y,,Scottsville Elementary Albemarle County Public Schools
N,441,Stone Robinson Elementary Albemarle County Public Schools
Y,26,Stone Robinson Elementary Albemarle County Public Schools
N,182,Stony Point Elementary Albemarle County Public Schools
Y,,Stony Point Elementary Albemarle County Public Schools
N,259,Virginia L. Murray Elementary Albemarle County Public Schools
Y,,Virginia L. Murray Elementary Albemarle County Public Schools
N,"1,147",Western Albemarle High Albemarle County Public Schools
Y,,Western Albemarle High Albemarle County Public Schools
N,431,Woodbrook Elementary Albemarle County Public Schools
Y,122,Woodbrook Elementary Albemarle County Public Schools
N,"3,095",Alexandria City High Alexandria City Public Schools
Y,"1,111",Alexandria City High Alexandria City Public Schools
N,368,Charles Barrett Elementary Alexandria City Public Schools
Y,175,Charles Barrett Elementary Alexandria City Public Schools
N,116,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Y,148,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
N,429,Douglas Macarthur Elementary Alexandria City Public Schools
Y,121,Douglas Macarthur Elementary Alexandria City Public Schools
N,179,Early Childhood Center Alexandria City Public Schools
N,133,Ferdinand T. Day Elementary Alexandria City Public Schools
Y,400,Ferdinand T. Day Elementary Alexandria City Public Schools
N,596,Francis C. Hammond Middle Alexandria City Public Schools
Y,474,Francis C. Hammond Middle Alexandria City Public Schools
N,235,George Mason Elementary Alexandria City Public Schools
Y,106,George Mason Elementary Alexandria City Public Schools
N,928,George Washington Middle Alexandria City Public Schools
Y,299,George Washington Middle Alexandria City Public Schools
N,309,James K. Polk Elementary Alexandria City Public Schools
Y,408,James K. Polk Elementary Alexandria City Public Schools
N,487,Jefferson-Houston PK-8 School Alexandria City Public Schools
Y,109,Jefferson-Houston PK-8 School Alexandria City Public Schools
N,267,John Adams Elementary Alexandria City Public Schools
Y,398,John Adams Elementary Alexandria City Public Schools
N,355,Lyles-Crouch Elementary Alexandria City Public Schools
Y,33,Lyles-Crouch Elementary Alexandria City Public Schools
N,476,Mount Vernon Elementary Alexandria City Public Schools
Y,392,Mount Vernon Elementary Alexandria City Public Schools
N,308,Naomi L. Brooks Elementary Alexandria City Public Schools
Y,27,Naomi L. Brooks Elementary Alexandria City Public Schools
N,443,Patrick Henry K-8 School Alexandria City Public Schools
Y,342,Patrick Henry K-8 School Alexandria City Public Schools
N,384,Samuel W. Tucker Elementary Alexandria City Public Schools
Y,277,Samuel W. Tucker Elementary Alexandria City Public Schools
N,189,William Ramsay Elementary Alexandria City Public Schools
Y,372,William Ramsay Elementary Alexandria City Public Schools
N,573,Alleghany High Alleghany County Public Schools
Y,,Alleghany High Alleghany County Public Schools
N,257,Callaghan Elementary Alleghany County Public Schools
N,410,Clifton Middle Alleghany County Public Schools
Y,,Clifton Middle Alleghany County Public Schools
N,463,Mountain View Elementary Alleghany County Public Schools
Y,,Mountain View Elementary Alleghany County Public Schools
N,190,Sharon Elementary Alleghany County Public Schools
Y,,Sharon Elementary Alleghany County Public Schools
