Foster Care,Total Count,Sch_Div
N,407,Accawmacke Elementary Accomack County Public Schools
Y,1,Accawmacke Elementary Accomack County Public Schools
N,686,Arcadia High Accomack County Public Schools
Y,1,Arcadia High Accomack County Public Schools
N,547,Arcadia Middle Accomack County Public Schools
N,226,Chincoteague Elementary Accomack County Public Schools
N,266,Chincoteague High Accomack County Public Schools
N,475,Kegotank Elementary Accomack County Public Schools
N,557,Metompkin Elementary Accomack County Public Schools
Y,1,Metompkin Elementary Accomack County Public Schools
N,650,Nandua High Accomack County Public Schools
Y,2,Nandua High Accomack County Public Schools
N,454,Nandua Middle Accomack County Public Schools
Y,1,Nandua Middle Accomack County Public Schools
N,436,Pungoteague Elementary Accomack County Public Schools
N,42,Tangier Combined Accomack County Public Schools
N,456,Agnor-Hurt Elementary Albemarle County Public Schools
N,"1,914",Albemarle High Albemarle County Public Schools
Y,3,Albemarle High Albemarle County Public Schools
N,681,Baker-Butler Elem Albemarle County Public Schools
Y,1,Baker-Butler Elem Albemarle County Public Schools
N,259,Broadus Wood Elementary Albemarle County Public Schools
N,756,Brownsville Elementary Albemarle County Public Schools
N,193,Community Lab School Albemarle County Public Schools
Y,1,Community Lab School Albemarle County Public Schools
N,325,Crozet Elementary Albemarle County Public Schools
N,341,Hollymead Elementary Albemarle County Public Schools
Y,1,Hollymead Elementary Albemarle County Public Schools
N,693,Jack Jouett Middle Albemarle County Public Schools
Y,1,Jack Jouett Middle Albemarle County Public Schools
N,599,Jackson P. Burley Middle Albemarle County Public Schools
Y,1,Jackson P. Burley Middle Albemarle County Public Schools
N,842,Joseph T. Henley Middle Albemarle County Public Schools
N,548,Lakeside Middle Albemarle County Public Schools
N,329,Leslie H. Walton Middle Albemarle County Public Schools
Y,2,Leslie H. Walton Middle Albemarle County Public Schools
N,481,Mary Carr Greer Elementary Albemarle County Public Schools
N,320,Meriwether Lewis Elementary Albemarle County Public Schools
Y,1,Meriwether Lewis Elementary Albemarle County Public Schools
N,"1,219",Monticello High Albemarle County Public Schools
Y,1,Monticello High Albemarle County Public Schools
N,731,Mountain View Elementary Albemarle County Public Schools
N,189,Red Hill Elementary Albemarle County Public Schools
N,215,Scottsville Elementary Albemarle County Public Schools
Y,1,Scottsville Elementary Albemarle County Public Schools
N,467,Stone Robinson Elementary Albemarle County Public Schools
Y,3,Stone Robinson Elementary Albemarle County Public Schools
N,188,Stony Point Elementary Albemarle County Public Schools
N,267,Virginia L. Murray Elementary Albemarle County Public Schools
Y,1,Virginia L. Murray Elementary Albemarle County Public Schools
N,"1,156",Western Albemarle High Albemarle County Public Schools
Y,1,Western Albemarle High Albemarle County Public Schools
N,561,Woodbrook Elementary Albemarle County Public Schools
Y,1,Woodbrook Elementary Albemarle County Public Schools
N,"4,397",Alexandria City High Alexandria City Public Schools
Y,5,Alexandria City High Alexandria City Public Schools
N,550,Charles Barrett Elementary Alexandria City Public Schools
N,278,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
N,565,Douglas Macarthur Elementary Alexandria City Public Schools
Y,2,Douglas Macarthur Elementary Alexandria City Public Schools
N,179,Early Childhood Center Alexandria City Public Schools
N,573,Ferdinand T. Day Elementary Alexandria City Public Schools
N,"1,424",Francis C. Hammond Middle Alexandria City Public Schools
N,347,George Mason Elementary Alexandria City Public Schools
N,"1,445",George Washington Middle Alexandria City Public Schools
Y,2,George Washington Middle Alexandria City Public Schools
N,757,James K. Polk Elementary Alexandria City Public Schools
N,644,Jefferson-Houston PK-8 School Alexandria City Public Schools
N,691,John Adams Elementary Alexandria City Public Schools
N,400,Lyles-Crouch Elementary Alexandria City Public Schools
N,888,Mount Vernon Elementary Alexandria City Public Schools
N,340,Naomi L. Brooks Elementary Alexandria City Public Schools
N,896,Patrick Henry K-8 School Alexandria City Public Schools
N,731,Samuel W. Tucker Elementary Alexandria City Public Schools
N,598,William Ramsay Elementary Alexandria City Public Schools
N,579,Alleghany High Alleghany County Public Schools
Y,3,Alleghany High Alleghany County Public Schools
N,257,Callaghan Elementary Alleghany County Public Schools
N,410,Clifton Middle Alleghany County Public Schools
Y,1,Clifton Middle Alleghany County Public Schools
N,467,Mountain View Elementary Alleghany County Public Schools
Y,3,Mountain View Elementary Alleghany County Public Schools
N,191,Sharon Elementary Alleghany County Public Schools
N,736,Amelia County Elementary Amelia County Public Schools
Y,5,Amelia County Elementary Amelia County Public Schools
N,491,Amelia County High Amelia County Public Schools
Y,2,Amelia County High Amelia County Public Schools
N,399,Amelia County Middle Amelia County Public Schools
Y,2,Amelia County Middle Amelia County Public Schools
N,430,Amelon Elementary Amherst County Public Schools
Y,4,Amelon Elementary Amherst County Public Schools
N,"1,207",Amherst County High Amherst County Public Schools
Y,10,Amherst County High Amherst County Public Schools
N,231,Amherst Elementary Amherst County Public Schools
Y,2,Amherst Elementary Amherst County Public Schools
N,377,Amherst Middle Amherst County Public Schools
Y,1,Amherst Middle Amherst County Public Schools
N,329,Central Elementary Amherst County Public Schools
Y,3,Central Elementary Amherst County Public Schools
N,339,Elon Elementary Amherst County Public Schools
Y,1,Elon Elementary Amherst County Public Schools
N,378,Madison Heights Elementary Amherst County Public Schools
Y,3,Madison Heights Elementary Amherst County Public Schools
N,557,Monelison Middle Amherst County Public Schools
Y,3,Monelison Middle Amherst County Public Schools
N,95,Temperance Elementary Amherst County Public Schools
N,690,Appomattox County High Appomattox County Public Schools
Y,6,Appomattox County High Appomattox County Public Schools
N,499,Appomattox Elementary Appomattox County Public Schools
Y,2,Appomattox Elementary Appomattox County Public Schools
N,539,Appomattox Middle Appomattox County Public Schools
Y,4,Appomattox Middle Appomattox County Public Schools
N,595,Appomattox Primary Appomattox County Public Schools
Y,3,Appomattox Primary Appomattox County Public Schools
N,706,Abingdon Elementary Arlington County Public Schools
N,584,Alice West Fleet Elementary Arlington County Public Schools
N,175,Arlington Community High Arlington County Public Schools
Y,2,Arlington Community High Arlington County Public Schools
N,456,Arlington Science Focus School Arlington County Public Schools
N,668,Arlington Traditional Arlington County Public Schools
N,539,Ashlawn Elementary Arlington County Public Schools
Y,1,Ashlawn Elementary Arlington County Public Schools
N,439,Barcroft Elementary Arlington County Public Schools
Y,1,Barcroft Elementary Arlington County Public Schools
N,527,Barrett Elementary Arlington County Public Schools
