Free_And_Reduced_Lunch_Percent_Eligible,Sch_Div
66.3,Galax Elementary Galax City Public Schools
63.2,Galax High Galax City Public Schools
62,Galax Middle Galax City Public Schools
94.3,Elydale Middle Lee County Public Schools
94.5,Jonesville Middle Lee County Public Schools
94.5,Lee High Lee County Public Schools
94.2,St. Charles Elementary Lee County Public Schools
94.5,Elk Knob Elementary Lee County Public Schools
94.5,Rose Hill Elementary Lee County Public Schools
94.5,Thomas Walker High Lee County Public Schools
94.5,Flatwoods Elementary Lee County Public Schools
94.4,Dryden Elementary Lee County Public Schools
94.3,Pennington Middle Lee County Public Schools
49.9,G.W. Carver Elementary Salem City Public Schools
40.5,Andrew Lewis Middle Salem City Public Schools
31.3,South Salem Elementary Salem City Public Schools
56,East Salem Elementary Salem City Public Schools
30.8,Salem High Salem City Public Schools
29.6,West Salem Elementary Salem City Public Schools
36.7,West Point Elementary West Point Public Schools
18.8,West Point Middle/High West Point Public Schools
61.6,Millboro Elementary Bath County Public Schools
44.2,Bath County High Bath County Public Schools
60.9,Valley Elementary Bath County Public Schools
92.7,Norton Elementary Norton City Public Schools
64.9,Luray Elementary Page County Public Schools
48.5,Luray High Page County Public Schools
63.2,Stanley Elementary Page County Public Schools
53.5,Springfield Elementary Page County Public Schools
46.6,Page County High Page County Public Schools
59.7,Page County Middle Page County Public Schools
58,Shenandoah Elementary Page County Public Schools
56,Luray Middle Page County Public Schools
57.6,L.F. Addington Middle Wise County Public Schools
87.8,Wise Primary Wise County Public Schools
87.8,J.W. Adams Combined Wise County Public Schools
45.8,Central High Wise County Public Schools
87.5,Coeburn Middle Wise County Public Schools
87.8,Coeburn Primary Wise County Public Schools
52.7,Eastside High Wise County Public Schools
87.7,St. Paul Elementary Wise County Public Schools
87.7,Union High Wise County Public Schools
87.6,Union Middle Wise County Public Schools
87.6,Union Primary Wise County Public Schools
22.6,Grafton Bethel Elementary York County Public Schools
22.8,Seaford Elementary York County Public Schools
28,Dare Elementary York County Public Schools
16.4,Grafton High York County Public Schools
20.1,York High York County Public Schools
36.3,Yorktown Elementary York County Public Schools
30,Yorktown Middle York County Public Schools
16.2,Coventry Elementary York County Public Schools
17.3,Tabb Elementary York County Public Schools
16,Tabb High York County Public Schools
25.6,Tabb Middle York County Public Schools
