Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
13368,9007096,Galax Elementary Galax City Public Schools
17370,6326623,Galax High Galax City Public Schools
13438,4192233,Galax Middle Galax City Public Schools
15941,2262190,Elydale Middle Lee County Public Schools
15454,3662085,Jonesville Middle Lee County Public Schools
11382,8817949,Lee High Lee County Public Schools
17166,2133610,St. Charles Elementary Lee County Public Schools
13960,4029788,Elk Knob Elementary Lee County Public Schools
13160,3067511,Rose Hill Elementary Lee County Public Schools
13575,3772284,Thomas Walker High Lee County Public Schools
13474,3953437,Flatwoods Elementary Lee County Public Schools
14199,3700563,Dryden Elementary Lee County Public Schools
14738,4392775,Pennington Middle Lee County Public Schools
14005,6217113,G.W. Carver Elementary Salem City Public Schools
13059,11432109,Andrew Lewis Middle Salem City Public Schools
13136,4928310,South Salem Elementary Salem City Public Schools
14130,6284049,East Salem Elementary Salem City Public Schools
12901,15882804,Salem High Salem City Public Schools
13622,5395804,West Salem Elementary Salem City Public Schools
15059,5441290,West Point Elementary West Point Public Schools
12338,5516150,West Point Middle/High West Point Public Schools
19026,2660413,Millboro Elementary Bath County Public Schools
21108,3933079,Bath County High Bath County Public Schools
19415,3355948,Valley Elementary Bath County Public Schools
12342,6180321,Norton Elementary Norton City Public Schools
11382,5325883,Luray Elementary Page County Public Schools
12052,5972357,Luray High Page County Public Schools
11951,4412212,Stanley Elementary Page County Public Schools
14119,3019056,Springfield Elementary Page County Public Schools
11743,6407732,Page County High Page County Public Schools
12200,4559020,Page County Middle Page County Public Schools
13376,4097179,Shenandoah Elementary Page County Public Schools
12890,4400508,Luray Middle Page County Public Schools
11605,5219093,L.F. Addington Middle Wise County Public Schools
11124,6367542,Wise Primary Wise County Public Schools
10975,5322917,J.W. Adams Combined Wise County Public Schools
9494,6315536,Central High Wise County Public Schools
12963,4005278,Coeburn Middle Wise County Public Schools
11003,4829882,Coeburn Primary Wise County Public Schools
12199,4509219,Eastside High Wise County Public Schools
10609,4436804,St. Paul Elementary Wise County Public Schools
9923,5523888,Union High Wise County Public Schools
11070,6441267,Union Middle Wise County Public Schools
9488,7958108,Union Primary Wise County Public Schools
8746,5479526,Grafton Bethel Elementary York County Public Schools
11576,6176520,Seaford Elementary York County Public Schools
12106,4734938,Dare Elementary York County Public Schools
9509,11060918,Grafton High York County Public Schools
12639,11188010,Grafton Middle York County Public Schools
9917,10645988,York High York County Public Schools
39637,2457881,York River Academy York County Public Schools
14935,8918026,Yorktown Elementary York County Public Schools
19938,12794631,Yorktown Middle York County Public Schools
10300,6996224,Coventry Elementary York County Public Schools
7751,5138226,Tabb Elementary York County Public Schools
10347,11046603,Tabb High York County Public Schools
13232,11742567,Tabb Middle York County Public Schools
11770,7191832,Magruder Elementary York County Public Schools
14335,7864906,Queens Lake Middle York County Public Schools
10764,4125600,Waller Mill Elementary York County Public Schools
10668,7030169,Bruton High York County Public Schools
9343,5747534,Bethel Manor Elementary York County Public Schools
12648,4690965,Bland County High Bland County Public Schools
17180,10854442,Virginia High Bristol City Public Schools
17350,3195507,Highland View Elementary Bristol City Public Schools
13745,6760268,Virginia Middle Bristol City Public Schools
14437,6152462,Joseph Van Pelt Elementary Bristol City Public Schools
14410,3315820,Washington-Lee Elementary Bristol City Public Schools
13346,3268377,Stonewall Jackson Elementary Bristol City Public Schools
14118,4146407,Craig County High Craig County Public Schools
14261,2929108,McCleary Elementary Craig County Public Schools
12580,6223234,Essex High Essex County Public Schools
13381,8298464,Tappahannock Elementary Essex County Public Schools
12626,3389147,Check Elementary Floyd County Public Schools
11912,8902829,Floyd County High Floyd County Public Schools
12024,5425809,Floyd Elementary Floyd County Public Schools
13153,2320536,Willis Elementary Floyd County Public Schools
15481,1767756,Indian Valley Elementary Floyd County Public Schools
10890,4685826,Narrows High Giles County Public Schools
9662,6665560,Giles High Giles County Public Schools
9366,7582119,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
11470,5366257,A.W.E. Bassette Elementary Hampton City Public Schools
12426,3318004,Armstrong Elementary Hampton City Public Schools
11902,8460761,C. Alton Lindsay Middle Hampton City Public Schools
11344,12862506,Hunter B. Andrews Hampton City Public Schools
12767,7922244,Francis W. Jones Magnet Middle Hampton City Public Schools
12518,5032333,Jane H. Bryan Elementary Hampton City Public Schools
14752,3935259,Mary T. Christian Elementary Hampton City Public Schools
12424,15344854,Phoebus High Hampton City Public Schools
11666,4964312,Francis Asbury Elementary Hampton City Public Schools
11395,5788445,Aberdeen Elementary Hampton City Public Schools
11948,21271995,Bethel High Hampton City Public Schools
11541,8117356,Cesar Tarrant Middle Hampton City Public Schools
10586,15226136,George P. Phenix Elementary Hampton City Public Schools
12339,3888883,Mary W. Jackson Elementary Hampton City Public Schools
11147,4513684,Paul Burbank Elementary Hampton City Public Schools
12984,7151404,Thomas Eaton Middle Hampton City Public Schools
12140,4317343,William Mason Cooper Elementary Hampton City Public Schools
11103,10787731,Benjamin Syms Middle Hampton City Public Schools
13147,17501512,Hampton High Hampton City Public Schools
12543,5333465,Mary S. Peake Elementary Hampton City Public Schools
12033,4775405,Phillips Elementary Hampton City Public Schools
12273,5770963,Samuel P. Langley Elementary Hampton City Public Schools
