Gender,Total Count,Sch_Div
Female,202,Accawmacke Elementary Accomack County Public Schools
Male,206,Accawmacke Elementary Accomack County Public Schools
Female,323,Arcadia High Accomack County Public Schools
Male,364,Arcadia High Accomack County Public Schools
Female,285,Arcadia Middle Accomack County Public Schools
Male,262,Arcadia Middle Accomack County Public Schools
Female,104,Chincoteague Elementary Accomack County Public Schools
Male,122,Chincoteague Elementary Accomack County Public Schools
Female,128,Chincoteague High Accomack County Public Schools
Male,138,Chincoteague High Accomack County Public Schools
Female,229,Kegotank Elementary Accomack County Public Schools
Male,246,Kegotank Elementary Accomack County Public Schools
Female,276,Metompkin Elementary Accomack County Public Schools
Male,282,Metompkin Elementary Accomack County Public Schools
Female,301,Nandua High Accomack County Public Schools
Male,351,Nandua High Accomack County Public Schools
Female,216,Nandua Middle Accomack County Public Schools
Male,239,Nandua Middle Accomack County Public Schools
Female,201,Pungoteague Elementary Accomack County Public Schools
Male,235,Pungoteague Elementary Accomack County Public Schools
Female,19,Tangier Combined Accomack County Public Schools
Male,23,Tangier Combined Accomack County Public Schools
Female,211,Agnor-Hurt Elementary Albemarle County Public Schools
Male,244,Agnor-Hurt Elementary Albemarle County Public Schools
Other,1,Agnor-Hurt Elementary Albemarle County Public Schools
Female,932,Albemarle High Albemarle County Public Schools
Male,983,Albemarle High Albemarle County Public Schools
Other,2,Albemarle High Albemarle County Public Schools
Female,350,Baker-Butler Elem Albemarle County Public Schools
Male,332,Baker-Butler Elem Albemarle County Public Schools
Female,133,Broadus Wood Elementary Albemarle County Public Schools
Male,126,Broadus Wood Elementary Albemarle County Public Schools
Female,361,Brownsville Elementary Albemarle County Public Schools
Male,395,Brownsville Elementary Albemarle County Public Schools
Female,105,Community Lab School Albemarle County Public Schools
Male,89,Community Lab School Albemarle County Public Schools
Female,152,Crozet Elementary Albemarle County Public Schools
Male,173,Crozet Elementary Albemarle County Public Schools
Female,165,Hollymead Elementary Albemarle County Public Schools
Male,177,Hollymead Elementary Albemarle County Public Schools
Female,330,Jack Jouett Middle Albemarle County Public Schools
Male,363,Jack Jouett Middle Albemarle County Public Schools
Other,1,Jack Jouett Middle Albemarle County Public Schools
Female,295,Jackson P. Burley Middle Albemarle County Public Schools
Male,305,Jackson P. Burley Middle Albemarle County Public Schools
Female,416,Joseph T. Henley Middle Albemarle County Public Schools
Male,426,Joseph T. Henley Middle Albemarle County Public Schools
Female,285,Lakeside Middle Albemarle County Public Schools
Male,263,Lakeside Middle Albemarle County Public Schools
Female,162,Leslie H. Walton Middle Albemarle County Public Schools
Male,167,Leslie H. Walton Middle Albemarle County Public Schools
Other,2,Leslie H. Walton Middle Albemarle County Public Schools
