Graduation_Completion_Index,Sch_Div
91.4,Galax High Galax City Public Schools
84.3,Lee High Lee County Public Schools
89.8,Thomas Walker High Lee County Public Schools
94.9,Salem High Salem City Public Schools
96.9,West Point Middle/High West Point Public Schools
97.3,Bath County High Bath County Public Schools
98.4,Luray High Page County Public Schools
99.2,Page County High Page County Public Schools
97.9,Central High Wise County Public Schools
94.1,Eastside High Wise County Public Schools
95.9,Union High Wise County Public Schools
97.1,Grafton High York County Public Schools
98.4,York High York County Public Schools
98.3,York River Academy York County Public Schools
98.2,Tabb High York County Public Schools
97.2,Bruton High York County Public Schools
99.4,Bland County High Bland County Public Schools
84.4,Virginia High Bristol City Public Schools
80.6,Craig County High Craig County Public Schools
93.6,Essex High Essex County Public Schools
97.8,Floyd County High Floyd County Public Schools
87.3,Narrows High Giles County Public Schools
93.8,Giles High Giles County Public Schools
95.9,Phoebus High Hampton City Public Schools
98.3,Bethel High Hampton City Public Schools
95.6,Hampton High Hampton City Public Schools
97.8,Kecoughtan High Hampton City Public Schools
91.9,Magna Vista High Henry County Public Schools
85.1,Bassett High Henry County Public Schools
84.9,Booker T Washington High Norfolk City Public Schools
92.7,Norview High Norfolk City Public Schools
83,Granby High Norfolk City Public Schools
96.4,Radford High Radford City Public Schools
91.3,Patrick Henry High Roanoke City Public Schools
83.4,William Fleming High Roanoke City Public Schools
95,Rye Cove High Scott County Public Schools
91.2,Gate City High Scott County Public Schools
89.6,Twin Springs High Scott County Public Schools
99,Chilhowie High Smyth County Public Schools
98.4,Northwood High Smyth County Public Schools
91.4,Marion Senior High Smyth County Public Schools
82.4,King's Fork High Suffolk City Public Schools
79.1,Lakeland High Suffolk City Public Schools
92.6,Nansemond River High Suffolk City Public Schools
95.7,Surry County High Surry County Public Schools
88.7,George Wythe High Wythe County Public Schools
94.7,Fort Chiswell High Wythe County Public Schools
95.2,Rural Retreat High Wythe County Public Schools
94.8,Amelia County High Amelia County Public Schools
97.9,Clarke County High Clarke County Public Schools
100,Galileo Magnet High Danville City Public Schools
76,George Washington High Danville City Public Schools
