Homeless,Total Count,Sch_Div
N,370,Accawmacke Elementary Accomack County Public Schools
Y,38,Accawmacke Elementary Accomack County Public Schools
N,670,Arcadia High Accomack County Public Schools
Y,17,Arcadia High Accomack County Public Schools
N,538,Arcadia Middle Accomack County Public Schools
Y,,Arcadia Middle Accomack County Public Schools
N,212,Chincoteague Elementary Accomack County Public Schools
Y,14,Chincoteague Elementary Accomack County Public Schools
N,258,Chincoteague High Accomack County Public Schools
Y,,Chincoteague High Accomack County Public Schools
N,459,Kegotank Elementary Accomack County Public Schools
Y,16,Kegotank Elementary Accomack County Public Schools
N,546,Metompkin Elementary Accomack County Public Schools
Y,12,Metompkin Elementary Accomack County Public Schools
N,633,Nandua High Accomack County Public Schools
Y,19,Nandua High Accomack County Public Schools
N,431,Nandua Middle Accomack County Public Schools
Y,24,Nandua Middle Accomack County Public Schools
N,406,Pungoteague Elementary Accomack County Public Schools
Y,30,Pungoteague Elementary Accomack County Public Schools
N,41,Tangier Combined Accomack County Public Schools
Y,,Tangier Combined Accomack County Public Schools
N,454,Agnor-Hurt Elementary Albemarle County Public Schools
Y,,Agnor-Hurt Elementary Albemarle County Public Schools
N,"1,907",Albemarle High Albemarle County Public Schools
Y,10,Albemarle High Albemarle County Public Schools
N,682,Baker-Butler Elem Albemarle County Public Schools
N,259,Broadus Wood Elementary Albemarle County Public Schools
N,755,Brownsville Elementary Albemarle County Public Schools
Y,,Brownsville Elementary Albemarle County Public Schools
N,194,Community Lab School Albemarle County Public Schools
N,325,Crozet Elementary Albemarle County Public Schools
N,342,Hollymead Elementary Albemarle County Public Schools
N,686,Jack Jouett Middle Albemarle County Public Schools
Y,,Jack Jouett Middle Albemarle County Public Schools
N,593,Jackson P. Burley Middle Albemarle County Public Schools
Y,,Jackson P. Burley Middle Albemarle County Public Schools
N,840,Joseph T. Henley Middle Albemarle County Public Schools
Y,,Joseph T. Henley Middle Albemarle County Public Schools
N,547,Lakeside Middle Albemarle County Public Schools
Y,,Lakeside Middle Albemarle County Public Schools
N,330,Leslie H. Walton Middle Albemarle County Public Schools
Y,,Leslie H. Walton Middle Albemarle County Public Schools
N,474,Mary Carr Greer Elementary Albemarle County Public Schools
Y,,Mary Carr Greer Elementary Albemarle County Public Schools
N,321,Meriwether Lewis Elementary Albemarle County Public Schools
N,"1,216",Monticello High Albemarle County Public Schools
Y,,Monticello High Albemarle County Public Schools
N,726,Mountain View Elementary Albemarle County Public Schools
Y,,Mountain View Elementary Albemarle County Public Schools
N,189,Red Hill Elementary Albemarle County Public Schools
N,212,Scottsville Elementary Albemarle County Public Schools
Y,,Scottsville Elementary Albemarle County Public Schools
N,470,Stone Robinson Elementary Albemarle County Public Schools
N,188,Stony Point Elementary Albemarle County Public Schools
N,268,Virginia L. Murray Elementary Albemarle County Public Schools
N,"1,153",Western Albemarle High Albemarle County Public Schools
Y,,Western Albemarle High Albemarle County Public Schools
N,558,Woodbrook Elementary Albemarle County Public Schools
Y,,Woodbrook Elementary Albemarle County Public Schools
N,"4,383",Alexandria City High Alexandria City Public Schools
Y,19,Alexandria City High Alexandria City Public Schools
N,550,Charles Barrett Elementary Alexandria City Public Schools
N,278,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
N,567,Douglas Macarthur Elementary Alexandria City Public Schools
N,179,Early Childhood Center Alexandria City Public Schools
N,572,Ferdinand T. Day Elementary Alexandria City Public Schools
Y,,Ferdinand T. Day Elementary Alexandria City Public Schools
N,"1,409",Francis C. Hammond Middle Alexandria City Public Schools
Y,15,Francis C. Hammond Middle Alexandria City Public Schools
N,344,George Mason Elementary Alexandria City Public Schools
Y,,George Mason Elementary Alexandria City Public Schools
N,"1,442",George Washington Middle Alexandria City Public Schools
Y,,George Washington Middle Alexandria City Public Schools
N,755,James K. Polk Elementary Alexandria City Public Schools
Y,,James K. Polk Elementary Alexandria City Public Schools
N,634,Jefferson-Houston PK-8 School Alexandria City Public Schools
Y,10,Jefferson-Houston PK-8 School Alexandria City Public Schools
N,690,John Adams Elementary Alexandria City Public Schools
Y,,John Adams Elementary Alexandria City Public Schools
N,393,Lyles-Crouch Elementary Alexandria City Public Schools
Y,,Lyles-Crouch Elementary Alexandria City Public Schools
N,886,Mount Vernon Elementary Alexandria City Public Schools
Y,,Mount Vernon Elementary Alexandria City Public Schools
N,338,Naomi L. Brooks Elementary Alexandria City Public Schools
Y,,Naomi L. Brooks Elementary Alexandria City Public Schools
N,894,Patrick Henry K-8 School Alexandria City Public Schools
Y,,Patrick Henry K-8 School Alexandria City Public Schools
N,724,Samuel W. Tucker Elementary Alexandria City Public Schools
Y,,Samuel W. Tucker Elementary Alexandria City Public Schools
N,597,William Ramsay Elementary Alexandria City Public Schools
Y,,William Ramsay Elementary Alexandria City Public Schools
N,579,Alleghany High Alleghany County Public Schools
Y,,Alleghany High Alleghany County Public Schools
N,257,Callaghan Elementary Alleghany County Public Schools
N,410,Clifton Middle Alleghany County Public Schools
Y,,Clifton Middle Alleghany County Public Schools
N,469,Mountain View Elementary Alleghany County Public Schools
Y,,Mountain View Elementary Alleghany County Public Schools
N,191,Sharon Elementary Alleghany County Public Schools
N,740,Amelia County Elementary Amelia County Public Schools
Y,,Amelia County Elementary Amelia County Public Schools
N,493,Amelia County High Amelia County Public Schools
N,401,Amelia County Middle Amelia County Public Schools
N,429,Amelon Elementary Amherst County Public Schools
Y,,Amelon Elementary Amherst County Public Schools
N,"1,210",Amherst County High Amherst County Public Schools
Y,,Amherst County High Amherst County Public Schools
N,233,Amherst Elementary Amherst County Public Schools
N,373,Amherst Middle Amherst County Public Schools
Y,,Amherst Middle Amherst County Public Schools
N,325,Central Elementary Amherst County Public Schools
Y,,Central Elementary Amherst County Public Schools
N,336,Elon Elementary Amherst County Public Schools
Y,,Elon Elementary Amherst County Public Schools
N,369,Madison Heights Elementary Amherst County Public Schools
Y,12,Madison Heights Elementary Amherst County Public Schools
N,548,Monelison Middle Amherst County Public Schools
Y,12,Monelison Middle Amherst County Public Schools
N,95,Temperance Elementary Amherst County Public Schools
N,691,Appomattox County High Appomattox County Public Schools
Y,,Appomattox County High Appomattox County Public Schools
N,500,Appomattox Elementary Appomattox County Public Schools
Y,,Appomattox Elementary Appomattox County Public Schools
N,540,Appomattox Middle Appomattox County Public Schools
Y,,Appomattox Middle Appomattox County Public Schools
N,595,Appomattox Primary Appomattox County Public Schools
Y,,Appomattox Primary Appomattox County Public Schools
N,702,Abingdon Elementary Arlington County Public Schools
Y,,Abingdon Elementary Arlington County Public Schools
N,584,Alice West Fleet Elementary Arlington County Public Schools
N,175,Arlington Community High Arlington County Public Schools
Y,,Arlington Community High Arlington County Public Schools
N,452,Arlington Science Focus School Arlington County Public Schools
Y,,Arlington Science Focus School Arlington County Public Schools
N,667,Arlington Traditional Arlington County Public Schools
Y,,Arlington Traditional Arlington County Public Schools
N,537,Ashlawn Elementary Arlington County Public Schools
Y,,Ashlawn Elementary Arlington County Public Schools
N,439,Barcroft Elementary Arlington County Public Schools
Y,,Barcroft Elementary Arlington County Public Schools
