Race,Percentage,Sch_Div
"Black, not of Hispanic origin",44.60784314,Accawmacke Elementary Accomack County Public Schools
"White, not of Hispanic origin",27.94117647,Accawmacke Elementary Accomack County Public Schools
Hispanic,24.26470588,Accawmacke Elementary Accomack County Public Schools
"Non-Hispanic, two or more races",1.715686275,Accawmacke Elementary Accomack County Public Schools
Asian,1.470588235,Accawmacke Elementary Accomack County Public Schools
"Black, not of Hispanic origin",36.97234352,Arcadia High Accomack County Public Schools
Hispanic,31.58660844,Arcadia High Accomack County Public Schools
"White, not of Hispanic origin",29.54876274,Arcadia High Accomack County Public Schools
Asian,1.164483261,Arcadia High Accomack County Public Schools
"Non-Hispanic, two or more races",0.727802038,Arcadia High Accomack County Public Schools
"Black, not of Hispanic origin",36.38025594,Arcadia Middle Accomack County Public Schools
Hispanic,32.17550274,Arcadia Middle Accomack County Public Schools
"White, not of Hispanic origin",28.51919561,Arcadia Middle Accomack County Public Schools
"Non-Hispanic, two or more races",2.376599634,Arcadia Middle Accomack County Public Schools
Asian,0.365630713,Arcadia Middle Accomack County Public Schools
American Indian or Alaska Native,0.182815356,Arcadia Middle Accomack County Public Schools
"White, not of Hispanic origin",75.22123894,Chincoteague Elementary Accomack County Public Schools
"Black, not of Hispanic origin",13.27433628,Chincoteague Elementary Accomack County Public Schools
Hispanic,6.194690265,Chincoteague Elementary Accomack County Public Schools
"Non-Hispanic, two or more races",5.309734513,Chincoteague Elementary Accomack County Public Schools
"White, not of Hispanic origin",81.57894737,Chincoteague High Accomack County Public Schools
"Black, not of Hispanic origin",12.03007519,Chincoteague High Accomack County Public Schools
"Non-Hispanic, two or more races",3.007518797,Chincoteague High Accomack County Public Schools
Hispanic,2.631578947,Chincoteague High Accomack County Public Schools
American Indian or Alaska Native,0.37593985,Chincoteague High Accomack County Public Schools
Asian,0.37593985,Chincoteague High Accomack County Public Schools
"Black, not of Hispanic origin",38.73684211,Kegotank Elementary Accomack County Public Schools
"White, not of Hispanic origin",34.10526316,Kegotank Elementary Accomack County Public Schools
Hispanic,25.47368421,Kegotank Elementary Accomack County Public Schools
American Indian or Alaska Native,0.631578947,Kegotank Elementary Accomack County Public Schools
"Non-Hispanic, two or more races",0.631578947,Kegotank Elementary Accomack County Public Schools
Asian,0.421052632,Kegotank Elementary Accomack County Public Schools
"Black, not of Hispanic origin",39.96415771,Metompkin Elementary Accomack County Public Schools
Hispanic,36.91756272,Metompkin Elementary Accomack County Public Schools
"White, not of Hispanic origin",20.07168459,Metompkin Elementary Accomack County Public Schools
"Non-Hispanic, two or more races",3.046594982,Metompkin Elementary Accomack County Public Schools
"Black, not of Hispanic origin",40.03067485,Nandua High Accomack County Public Schools
"White, not of Hispanic origin",37.11656442,Nandua High Accomack County Public Schools
Hispanic,20.70552147,Nandua High Accomack County Public Schools
Asian,1.380368098,Nandua High Accomack County Public Schools
"Non-Hispanic, two or more races",0.766871166,Nandua High Accomack County Public Schools
"Black, not of Hispanic origin",44.3956044,Nandua Middle Accomack County Public Schools
"White, not of Hispanic origin",31.42857143,Nandua Middle Accomack County Public Schools
Hispanic,21.97802198,Nandua Middle Accomack County Public Schools
Asian,1.098901099,Nandua Middle Accomack County Public Schools
"Non-Hispanic, two or more races",0.659340659,Nandua Middle Accomack County Public Schools
Native Hawaiian  or Pacific Islander,0.43956044,Nandua Middle Accomack County Public Schools
"Black, not of Hispanic origin",44.03669725,Pungoteague Elementary Accomack County Public Schools
"White, not of Hispanic origin",36.9266055,Pungoteague Elementary Accomack County Public Schools
Hispanic,17.20183486,Pungoteague Elementary Accomack County Public Schools
"Non-Hispanic, two or more races",1.376146789,Pungoteague Elementary Accomack County Public Schools
American Indian or Alaska Native,0.229357798,Pungoteague Elementary Accomack County Public Schools
Native Hawaiian  or Pacific Islander,0.229357798,Pungoteague Elementary Accomack County Public Schools
"White, not of Hispanic origin",100,Tangier Combined Accomack County Public Schools
"White, not of Hispanic origin",32.6754386,Agnor-Hurt Elementary Albemarle County Public Schools
Hispanic,28.28947368,Agnor-Hurt Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",21.71052632,Agnor-Hurt Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",10.30701754,Agnor-Hurt Elementary Albemarle County Public Schools
Asian,7.01754386,Agnor-Hurt Elementary Albemarle County Public Schools
"White, not of Hispanic origin",52.94731351,Albemarle High Albemarle County Public Schools
Hispanic,16.84924361,Albemarle High Albemarle County Public Schools
"Black, not of Hispanic origin",16.11893584,Albemarle High Albemarle County Public Schools
Asian,7.876890975,Albemarle High Albemarle County Public Schools
"Non-Hispanic, two or more races",6.051121544,Albemarle High Albemarle County Public Schools
American Indian or Alaska Native,0.156494523,Albemarle High Albemarle County Public Schools
"White, not of Hispanic origin",54.98533724,Baker-Butler Elem Albemarle County Public Schools
Hispanic,15.68914956,Baker-Butler Elem Albemarle County Public Schools
"Black, not of Hispanic origin",10.41055718,Baker-Butler Elem Albemarle County Public Schools
"Non-Hispanic, two or more races",9.970674487,Baker-Butler Elem Albemarle County Public Schools
Asian,8.504398827,Baker-Butler Elem Albemarle County Public Schools
