Disabled,Total Count,Sch_Div
N,366,Accawmacke Elementary Accomack County Public Schools
Y,42,Accawmacke Elementary Accomack County Public Schools
N,598,Arcadia High Accomack County Public Schools
Y,89,Arcadia High Accomack County Public Schools
N,456,Arcadia Middle Accomack County Public Schools
Y,91,Arcadia Middle Accomack County Public Schools
N,197,Chincoteague Elementary Accomack County Public Schools
Y,29,Chincoteague Elementary Accomack County Public Schools
N,231,Chincoteague High Accomack County Public Schools
Y,35,Chincoteague High Accomack County Public Schools
N,393,Kegotank Elementary Accomack County Public Schools
Y,82,Kegotank Elementary Accomack County Public Schools
N,495,Metompkin Elementary Accomack County Public Schools
Y,63,Metompkin Elementary Accomack County Public Schools
N,552,Nandua High Accomack County Public Schools
Y,100,Nandua High Accomack County Public Schools
N,387,Nandua Middle Accomack County Public Schools
Y,68,Nandua Middle Accomack County Public Schools
N,376,Pungoteague Elementary Accomack County Public Schools
Y,60,Pungoteague Elementary Accomack County Public Schools
N,36,Tangier Combined Accomack County Public Schools
Y,,Tangier Combined Accomack County Public Schools
N,406,Agnor-Hurt Elementary Albemarle County Public Schools
Y,50,Agnor-Hurt Elementary Albemarle County Public Schools
N,"1,693",Albemarle High Albemarle County Public Schools
Y,224,Albemarle High Albemarle County Public Schools
N,602,Baker-Butler Elem Albemarle County Public Schools
Y,80,Baker-Butler Elem Albemarle County Public Schools
N,226,Broadus Wood Elementary Albemarle County Public Schools
Y,33,Broadus Wood Elementary Albemarle County Public Schools
N,683,Brownsville Elementary Albemarle County Public Schools
Y,73,Brownsville Elementary Albemarle County Public Schools
N,156,Community Lab School Albemarle County Public Schools
Y,38,Community Lab School Albemarle County Public Schools
N,292,Crozet Elementary Albemarle County Public Schools
Y,33,Crozet Elementary Albemarle County Public Schools
N,290,Hollymead Elementary Albemarle County Public Schools
Y,52,Hollymead Elementary Albemarle County Public Schools
N,584,Jack Jouett Middle Albemarle County Public Schools
Y,110,Jack Jouett Middle Albemarle County Public Schools
N,515,Jackson P. Burley Middle Albemarle County Public Schools
Y,85,Jackson P. Burley Middle Albemarle County Public Schools
N,756,Joseph T. Henley Middle Albemarle County Public Schools
Y,86,Joseph T. Henley Middle Albemarle County Public Schools
N,497,Lakeside Middle Albemarle County Public Schools
Y,51,Lakeside Middle Albemarle County Public Schools
N,271,Leslie H. Walton Middle Albemarle County Public Schools
Y,60,Leslie H. Walton Middle Albemarle County Public Schools
N,421,Mary Carr Greer Elementary Albemarle County Public Schools
Y,60,Mary Carr Greer Elementary Albemarle County Public Schools
N,289,Meriwether Lewis Elementary Albemarle County Public Schools
Y,32,Meriwether Lewis Elementary Albemarle County Public Schools
N,"1,048",Monticello High Albemarle County Public Schools
Y,172,Monticello High Albemarle County Public Schools
N,639,Mountain View Elementary Albemarle County Public Schools
Y,92,Mountain View Elementary Albemarle County Public Schools
N,157,Red Hill Elementary Albemarle County Public Schools
Y,32,Red Hill Elementary Albemarle County Public Schools
N,186,Scottsville Elementary Albemarle County Public Schools
Y,30,Scottsville Elementary Albemarle County Public Schools
N,395,Stone Robinson Elementary Albemarle County Public Schools
Y,75,Stone Robinson Elementary Albemarle County Public Schools
N,174,Stony Point Elementary Albemarle County Public Schools
Y,14,Stony Point Elementary Albemarle County Public Schools
N,242,Virginia L. Murray Elementary Albemarle County Public Schools
Y,26,Virginia L. Murray Elementary Albemarle County Public Schools
N,"1,024",Western Albemarle High Albemarle County Public Schools
Y,133,Western Albemarle High Albemarle County Public Schools
N,498,Woodbrook Elementary Albemarle County Public Schools
Y,64,Woodbrook Elementary Albemarle County Public Schools
N,"3,955",Alexandria City High Alexandria City Public Schools
Y,447,Alexandria City High Alexandria City Public Schools
N,472,Charles Barrett Elementary Alexandria City Public Schools
Y,78,Charles Barrett Elementary Alexandria City Public Schools
N,229,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Y,49,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
N,512,Douglas Macarthur Elementary Alexandria City Public Schools
Y,55,Douglas Macarthur Elementary Alexandria City Public Schools
N,122,Early Childhood Center Alexandria City Public Schools
Y,57,Early Childhood Center Alexandria City Public Schools
