Sch_Div,Economically_Disadvantaged_No_Total_Count,Economically_Disadvantaged_Yes_Total_Count,English_Learners_No_Total_Count,English_Learners_Yes_Total_Count,Foster_Care_No_Total_Count,Foster_Care_Yes_Total_Count,Homeless_No_Total_Count,Homeless_Yes_Total_Count,Disabled_No_Total_Count,Disabled_Yes_Total_Count,Gender_Female_Total_Count,Gender_Male_Total_Count,Gender_Other_Total_Count,Race_American_Indian_Or_Alaska_Native_Percentage,Race_Asian_Percentage,Race_Black_Not_Of_Hispanic_Origin_Percentage,Race_Hispanic_Percentage,Native Hawaiian  or Pacific Islander,Race_Non_Hispanic_Two_Or_More_Races_Percentage,Race_White_Not_Of_Hispanic_Origin_Percentage,Teachers_Bachelors_Degree_Percentage,Teachers_Doctoral_Degree_Percentage,Teachers_Masters_Degree_Percentage,Free_And_Reduced_Lunch_Percent_Eligible,Total_Per_Pupil_Expenditures,Total_Expenditures,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Graduation_Completion_Index
Abingdon High Washington County Public Schools,534,327,852,,853,8,861,,711,150,441,420,0,0.116144019,2.206736353,2.555168409,4.06504065,0.116144019,3.019744483,87.92102207,44,2,49,38.2,11496,9445329,201,795,25.28,Medium Poverty,Non-Title I,4.2,6.3,0.0,90.6
Albemarle High Albemarle County Public Schools,"1,393",524,"1,703",172,"1,914",3,"1,907",10,"1,693",224,932,983,2,0.156494523,7.876890975,16.11893584,16.84924361,0.0,6.051121544,52.94731351,32,1,65,29.2,15599,29702664,372,1913,19.45,Low Poverty,Non-Title I,4.0,4.5,1.7,94.5
Altavista High Campbell County Public Schools,364,338,698,,701,1,694,,603,99,344,358,0,0.56980057,0.56980057,26.21082621,2.991452991,0.142450142,7.407407407,62.10826211,53,0,45,50.0,11414,7825450,171,699,24.46,Medium Poverty,Non-Title I,0.0,7.7,0.0,87.0
Amelia County High Amelia County Public Schools,292,201,483,,491,2,493,,427,66,253,240,0,0.0,0.0,21.5010142,6.085192698,0.0,6.693711968,65.72008114,56,4,38,44.8,12501,6090345,105,495,21.21,Medium Poverty,Non-Title I,6.5,2.2,2.2,94.8
Amherst County High Amherst County Public Schools,563,654,"1,208",,"1,207",10,"1,210",,"1,063",154,595,622,0,0.821692687,0.164338537,16.2695152,3.861955629,0.082169269,10.7641742,68.03615448,45,2,47,41.4,12735,15223809,528,1205,43.82,Medium Poverty,Non-Title I,7.3,5.2,1.0,94.2
Annandale High Fairfax County Public Schools,748,"1,506","1,400",676,"2,246",8,"2,226",28,"1,858",396,"1,048","1,205",1,0.266193434,17.7905945,15.08429459,51.90771961,0.044365572,1.774622893,13.13220941,25,1,72,60.7,17932,40312946,604,2251,26.83,Medium Poverty,Non-Title I,4.6,11.7,1.0,91.9
Appomattox County High Appomattox County Public Schools,426,270,689,,690,6,691,,628,68,356,340,0,0.0,0.0,20.54597701,3.448275862,0.0,7.614942529,68.3908046,49,3,43,41.4,10960,7509315,176,696,25.29,Medium Poverty,Non-Title I,5.4,14.9,4.1,92.9
Arcadia High Accomack County Public Schools,424,263,570,92,686,1,670,17,598,89,323,364,0,0.0,1.164483261,36.97234352,31.58660844,0.0,0.727802038,29.54876274,47,4,39,91.1,11247,7609411,159,677,23.49,High Poverty,Non-Title I,9.8,15.7,3.9,82.1
Arlington Community High Arlington County Public Schools,141,36,41,135,175,2,175,,169,,88,88,1,0.564971751,6.214689266,6.779661017,79.0960452,0.0,0.0,7.344632768,7,7,87,22.8,8711,1660871,120,188,63.83,Low Poverty,Non-Title I,0.0,3.6,0.0,78.7
Atlee High Hanover County Public Schools,"1,279",262,"1,527",12,"1,534",7,"1,540",,"1,352",189,703,838,0,0.454250487,2.855288774,6.683971447,4.347826087,0.0,4.412719014,81.24594419,27,2,69,10.8,10740,16096688,92,1524,6.04,Low Poverty,Non-Title I,3.4,4.3,0.0,96.7
Auburn High Montgomery County Public Schools,242,131,370,,373,,370,,328,45,176,197,0,0.0,0.0,1.072386059,2.949061662,0.0,2.412868633,93.56568365,24,2,70,34.1,15054,5545959,80,365,21.92,Medium Poverty,Non-Title I,0.0,2.0,0.0,97.4
Bassett High Henry County Public Schools,426,669,"1,045",38,"1,073",22,"1,085",10,912,183,538,557,0,0.091324201,0.091324201,16.52968037,17.89954338,0.0,8.127853881,57.26027397,46,0,49,88.7,10715,11644268,271,1090,24.86,High Poverty,Non-Title I,6.7,5.6,0.0,85.1
Bath County High Bath County Public Schools,84,104,187,,187,1,188,,165,23,96,92,0,0.0,0.531914894,2.659574468,1.063829787,0.0,3.723404255,92.0212766,32,4,54,44.2,21108,3933079,32,187,17.11,Medium Poverty,Non-Title I,7.4,0.0,0.0,97.3
Bayside High Virginia Beach City Public Schools,699,"1,247","1,884",56,"1,941",5,"1,931",15,"1,692",254,989,956,1,0.462487153,6.012332991,44.14182939,12.58992806,0.205549846,8.684480987,27.90339157,49,4,46,52.8,11709,22649060,539,1939,27.8,Medium Poverty,Non-Title I,3.8,8.3,0.0,94.4
Bethel High Hampton City Public Schools,"1,010",805,"1,787",21,"1,807",8,"1,805",10,"1,549",266,949,866,0,0.165289256,2.038567493,67.98898072,6.997245179,0.220385675,6.776859504,15.81267218,40,2,52,44.7,11948,21271995,370,1778,20.81,Medium Poverty,Non-Title I,2.5,2.5,0.0,98.3
Blacksburg High Montgomery County Public Schools,"1,064",258,"1,275",31,"1,320",2,"1,318",,"1,201",121,649,669,4,0.302571861,7.186081694,4.311649017,5.748865356,0.0,5.37065053,77.08018154,30,0,65,17.7,11595,15133251,189,1297,14.57,Low Poverty,Non-Title I,5.5,1.8,0.0,98.6
Bland County High Bland County Public Schools,210,162,372,,371,1,371,,308,64,185,187,0,0.268817204,1.075268817,2.150537634,1.344086022,0.0,2.956989247,92.20430108,47,1,51,46.8,12648,4690965,49,372,13.17,Medium Poverty,Non-Title I,2.7,5.4,2.7,99.4
Booker T Washington High Norfolk City Public Schools,253,725,954,18,975,3,976,,766,212,495,483,0,0.204498978,0.81799591,81.18609407,6.748466258,0.511247444,3.885480573,6.646216769,24,5,56,96.0,13860,12984397,143,940,15.21,High Poverty,Title I,6.3,10.0,1.3,84.9
Brentsville District High Prince William County Public Schools,785,156,879,46,941,,937,,804,137,452,489,0,0.318809777,3.613177471,5.100956429,18.27842721,0.0,4.994686504,67.69394261,24,1,75,12.4,15066,14206865,228,945,24.13,Low Poverty,Non-Title I,8.2,6.8,0.0,96.6
Broad Run High Loudoun County Public Schools,"1,201",375,"1,423",102,"1,576",,"1,567",,"1,430",146,801,772,3,0.253807107,25.44416244,10.34263959,15.2284264,0.253807107,5.774111675,42.70304569,26,1,73,17.8,18442,28754749,219,1547,14.16,Low Poverty,Non-Title I,2.7,1.4,0.0,97.7
Broadway High Rockingham County Public Schools,539,423,926,34,955,7,960,,859,103,448,514,0,0.51975052,0.935550936,0.51975052,12.47401247,0.0,4.261954262,81.28898129,41,0,59,33.6,12187,11403748,309,935,33.05,Medium Poverty,Non-Title I,2.6,0.0,0.0,96.0
Brooke Point High Stafford County Public Schools,"1,483",572,"1,926",95,"2,054",1,"2,051",,"1,781",274,996,"1,053",6,0.340632603,4.330900243,27.00729927,24.13625304,0.389294404,7.250608273,36.54501217,33,4,55,29.3,11365,22172645,447,1999,22.36,Low Poverty,Non-Title I,6.7,13.3,4.4,96.2
Brookville High Campbell County Public Schools,639,361,954,23,999,1,"1,000",,874,126,481,519,0,0.7,2.1,11.6,7.5,0.1,5.1,72.9,49,0,46,32.6,10281,10095370,203,987,20.57,Medium Poverty,Non-Title I,0.0,1.4,0.0,95.7
Brunswick High Brunswick County Public Schools,115,324,425,,438,1,438,,368,71,210,229,0,0.227790433,0.455580866,78.35990888,5.011389522,0.455580866,1.366742597,14.12300683,48,7,32,97.8,17381,7530251,66,433,15.24,High Poverty,Title I,7.3,7.3,0.0,90.1
Bruton High York County Public Schools,485,174,634,17,659,,647,12,580,79,324,335,0,0.303490137,3.338391502,21.5477997,12.8983308,0.303490137,12.59484067,49.01365706,30,6,58,28.5,10668,7030169,115,656,17.53,Low Poverty,Non-Title I,9.1,1.5,0.0,97.2
Bryant High Fairfax County Public Schools,40,100,56,79,136,4,134,,130,10,68,72,0,1.428571429,7.142857143,13.57142857,73.57142857,0.0,1.428571429,2.857142857,18,5,75,46.5,44478,6839325,125,156,80.13,Medium Poverty,Non-Title I,0.0,7.3,0.0,58.2
Buckingham County High Buckingham County Public Schools,308,288,589,,596,,593,,510,86,289,307,0,0.0,0.33557047,34.73154362,4.026845638,0.0,6.040268456,54.86577181,40,0,46,55.4,16375,9673825,205,603,34.0,Medium Poverty,Non-Title I,4.1,18.4,2.0,90.0
Buffalo Gap High Augusta County Public Schools,265,187,450,,450,2,450,,406,46,204,248,0,0.221238938,0.442477876,0.663716814,2.876106195,0.0,3.097345133,92.69911504,51,2,45,35.1,14077,6204208,95,449,21.16,Medium Poverty,Non-Title I,3.8,0.0,0.0,90.1
C.D. Hylton High Prince William County Public Schools,"1,093",985,"1,821",184,"2,074",4,"2,073",,"1,847",231,"1,059","1,019",0,0.288739172,8.22906641,24.15784408,46.00577478,0.192492782,4.764196343,16.36188643,33,0,61,43.9,13680,28384831,602,2059,29.24,Medium Poverty,Non-Title I,14.3,10.7,7.1,95.7
Caroline High Caroline County Public Schools,685,533,"1,192",18,"1,217",1,"1,214",,"1,050",168,573,645,0,0.492610837,0.821018062,27.17569787,11.33004926,0.246305419,8.538587849,51.39573071,47,0,47,47.3,11309,13170971,418,1168,35.79,Medium Poverty,Non-Title I,8.8,17.6,2.9,88.4
Carroll County High Carroll County Public Schools,411,641,"1,003",18,"1,041",11,"1,048",,875,177,515,537,0,0.190114068,0.475285171,0.760456274,6.463878327,0.0,0.950570342,91.15969582,41,2,52,48.5,12238,12358369,138,998,13.83,Medium Poverty,Non-Title I,1.9,6.7,1.0,94.3
Castlewood High Russell County Public Schools,115,205,319,,320,,320,,272,48,158,162,0,0.0,0.3125,0.3125,0.3125,0.0,0.625,98.4375,36,3,62,66.3,13749,4332842,96,314,30.57,High Poverty,Non-Title I,2.9,8.6,0.0,92.7
Cave Spring High Roanoke County Public Schools,856,168,"1,008",10,"1,019",5,"1,021",,886,138,516,507,1,0.0,5.17578125,5.95703125,6.34765625,0.0,4.1015625,78.41796875,34,0,65,16.1,10949,10956439,176,1007,17.48,Low Poverty,Non-Title I,10.1,0.0,0.0,96.5
Central High King and Queen County Public Schools,101,167,255,,268,,265,,217,51,135,133,0,0.373134328,0.746268657,29.85074627,8.208955224,0.0,13.05970149,47.76119403,50,3,45,54.6,16708,4356445,77,270,28.52,Medium Poverty,Non-Title I,5.6,8.3,2.8,93.9
Central High Lunenburg County Public Schools,243,249,459,16,491,1,483,,423,69,228,264,0,0.406504065,0.406504065,31.91056911,11.17886179,0.0,4.06504065,52.03252033,54,0,36,59.2,12730,6040838,59,476,12.39,Medium Poverty,Non-Title I,1.8,17.9,1.8,91.6
Central High Shenandoah County Public Schools,425,335,692,59,756,4,760,,642,118,373,387,0,0.131578947,0.657894737,4.210526316,19.07894737,0.0,4.605263158,71.31578947,49,1,49,42.1,12877,9556204,262,747,35.07,Medium Poverty,Non-Title I,7.7,9.2,1.5,98.3
Central High Wise County Public Schools,363,317,679,,675,5,650,30,569,111,302,378,0,0.0,0.882352941,1.176470588,1.323529412,0.147058824,1.029411765,95.44117647,58,0,42,45.8,9494,6315536,179,668,26.8,Medium Poverty,Non-Title I,3.3,0.0,0.0,97.9
Centreville High Fairfax County Public Schools,"1,762",828,"2,202",273,"2,590",,"2,571",19,"2,251",339,"1,237","1,351",2,0.231660232,32.39382239,9.227799228,22.12355212,0.154440154,5.366795367,30.5019305,20,2,77,28.7,16391,42505395,459,2594,17.69,Low Poverty,Non-Title I,2.1,10.7,0.0,93.1
Chancellor High Spotsylvania County Public Schools,727,670,"1,277",108,"1,392",5,"1,381",16,"1,201",196,666,730,1,0.501073729,2.720114531,21.68933429,31.71080888,0.572655691,5.511811024,37.29420186,43,0,52,40.2,11768,16098714,424,1359,31.2,Medium Poverty,Non-Title I,10.1,13.1,4.0,93.0
Chantilly High Fairfax County Public Schools,"2,345",620,"2,655",215,"2,960",5,"2,951",14,"2,508",457,"1,366","1,596",3,0.269814503,38.01011804,5.362563238,15.75042159,0.067453626,5.126475548,35.41315346,23,4,73,18.8,18181,53514906,485,2950,16.44,Low Poverty,Non-Title I,1.3,10.8,0.9,97.7
Charles City County High Charles City County Public Schools,105,131,235,,235,1,233,,198,38,120,116,0,6.355932203,0.423728814,57.20338983,2.542372881,0.847457627,8.050847458,24.57627119,41,3,47,56.2,21875,4733520,114,239,47.7,Medium Poverty,Title I,0.0,9.7,0.0,91.4
Charles J. Colgan Sr. High Prince William County Public Schools,"2,271",599,"2,702",116,"2,865",5,"2,866",,"2,572",298,"1,607","1,263",0,0.278745645,8.50174216,18.81533101,20.13937282,0.278745645,8.118466899,43.86759582,28,3,67,18.4,12529,35577473,668,2824,23.65,Low Poverty,Non-Title I,7.7,2.8,0.0,98.1
Charlottesville High Charlottesville City Public Schools,664,569,"1,092",117,"1,218",15,"1,229",,"1,060",173,601,613,19,0.081103001,4.947283049,28.06163828,13.78751014,0.0,7.948094079,45.17437145,34,2,62,40.8,17123,20762547,315,1236,25.49,Medium Poverty,Non-Title I,3.4,1.7,0.8,90.6
Chatham High Pittsylvania County Public Schools,352,264,607,,610,6,616,,534,82,307,309,0,0.162337662,0.324675325,27.27272727,5.844155844,0.0,2.11038961,64.28571429,51,0,42,49.2,11927,7049175,113,588,19.22,Medium Poverty,Non-Title I,6.0,2.0,0.0,88.2
Chilhowie High Smyth County Public Schools,247,174,415,,418,3,419,,379,42,202,219,0,0.237529691,0.475059382,0.237529691,4.750593824,0.0,0.712589074,93.58669834,58,0,40,77.7,11057,4570918,75,411,18.25,High Poverty,Non-Title I,4.1,8.2,0.0,99.0
Chincoteague High Accomack County Public Schools,187,79,266,,266,,258,,231,35,128,138,0,0.37593985,0.37593985,12.03007519,2.631578947,0.0,3.007518797,81.57894737,45,3,45,91.2,13958,3720706,33,266,12.41,High Poverty,Non-Title I,20.7,17.2,10.3,88.9
Christiansburg High Montgomery County Public Schools,686,411,"1,065",22,"1,094",3,"1,093",,981,116,500,594,3,0.091157703,1.002734731,7.474931632,7.019143118,0.091157703,5.46946217,78.85141294,32,1,62,34.7,12224,13114677,295,1072,27.52,Medium Poverty,Non-Title I,3.0,3.0,0.0,94.2
Churchland High Portsmouth City Public Schools,869,550,"1,404",13,"1,415",4,"1,416",,"1,246",173,682,737,0,0.281888654,0.986610289,68.00563777,4.298801973,0.845665962,4.792107118,20.78928823,49,1,41,48.8,12274,16873294,293,1373,21.34,Medium Poverty,Non-Title I,3.8,9.2,3.8,91.4
Clarke County High Clarke County Public Schools,515,165,664,14,680,,679,,609,71,348,332,0,0.0,0.882352941,2.794117647,10.58823529,0.294117647,8.676470588,76.76470588,46,0,49,16.6,13528,9127183,177,673,26.3,Low Poverty,Non-Title I,7.7,12.3,0.0,97.9
Clover Hill High Chesterfield County Public Schools,"1,334",462,"1,659",40,"1,796",,"1,790",,"1,579",217,836,960,0,0.389755011,5.734966592,25.05567929,12.52783964,0.222717149,5.957683742,50.11135857,39,0,60,24.9,11484,20006342,401,1769,22.67,Low Poverty,Non-Title I,3.3,1.7,0.0,95.1
Colonial Beach High Colonial Beach Public Schools,102,133,227,,235,,220,15,206,29,112,123,0,0.85106383,1.70212766,17.44680851,6.808510638,2.127659574,7.234042553,63.82978723,63,5,32,77.5,18402,4079727,34,231,14.72,High Poverty,Non-Title I,5.6,33.3,0.0,92.1
Colonial Forge High Stafford County Public Schools,"1,596",403,"1,910",64,"1,994",5,"1,992",,"1,716",283,"1,011",986,2,0.300150075,5.202601301,26.06303152,16.8084042,0.4002001,9.354677339,41.87093547,31,3,63,20.4,12101,22732935,353,1917,18.41,Low Poverty,Non-Title I,4.9,9.7,2.1,96.6
Colonial Heights High Colonial Heights City Public Schools,390,444,802,27,832,2,832,,694,140,408,426,0,0.119904077,2.997601918,21.10311751,10.3117506,0.35971223,6.954436451,58.15347722,49,0,47,47.3,14619,11448094,63,810,7.78,Medium Poverty,Non-Title I,8.1,4.7,0.0,91.1
Cosby High Chesterfield County Public Schools,"2,080",251,"2,262",,"2,330",1,"2,330",,"2,117",214,"1,253","1,078",0,0.085800086,4.804804805,14.8005148,6.778206778,0.214500215,4.375804376,68.94036894,31,2,66,12.2,11013,24731462,229,2297,9.97,Low Poverty,Non-Title I,4.2,1.4,0.0,99.0
Courtland High Spotsylvania County Public Schools,"1,011",539,"1,473",70,"1,546",4,"1,538",12,"1,359",191,751,797,2,0.129032258,4.451612903,23.61290323,20.19354839,0.064516129,7.612903226,43.93548387,38,1,59,17.5,11327,17275503,483,1527,31.63,Low Poverty,Non-Title I,7.3,6.3,2.1,92.6
Craig County High Craig County Public Schools,155,145,299,,296,4,291,,230,70,130,170,0,0.0,0.333333333,0.666666667,0.666666667,0.0,0.333333333,98.0,62,0,35,47.6,14118,4146407,106,294,36.05,Medium Poverty,Non-Title I,18.8,0.0,0.0,80.6
